Match_ID,Teams,Venue,Toss_Winner,Toss_Decision,Winner,Margin_Runs,Margin_Wickets,Player_of_Match
19,"['Chennai Super Kings', 'Royal Challengers Bangalore']","Wankhede Stadium, Mumbai",Chennai Super Kings,bat,Chennai Super Kings,69.0,,RA Jadeja
56,"['Royal Challengers Bangalore', 'Deccan Chargers']",SuperSport Park,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,12.0,,MK Pandey
3,"['Kings XI Punjab', 'Rajasthan Royals']",Maharashtra Cricket Association Stadium,Kings XI Punjab,field,Rajasthan Royals,26.0,,JP Faulkner
47,"['Kolkata Knight Riders', 'Pune Warriors']",Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,7.0,,SP Narine
22,"['Kings XI Punjab', 'Kolkata Knight Riders']","Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,9.0,,IK Pathan
40,"['Rising Pune Supergiants', 'Sunrisers Hyderabad']",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,4.0,,A Zampa
1,"['Chennai Super Kings', 'Gujarat Titans']","Narendra Modi Stadium, Ahmedabad",Gujarat Titans,field,Gujarat Titans,,5.0,Rashid Khan
40,"['Deccan Chargers', 'Rajasthan Royals']",De Beers Diamond Oval,Deccan Chargers,bat,Deccan Chargers,53.0,,DR Smith
3,"['Kolkata Knight Riders', 'Sunrisers Hyderabad']","MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,field,Kolkata Knight Riders,10.0,,N Rana
56,"['Kolkata Knight Riders', 'Rajasthan Royals']","Eden Gardens, Kolkata",Rajasthan Royals,field,Rajasthan Royals,,9.0,YBK Jaiswal
39,"['Delhi Daredevils', 'Rajasthan Royals']",Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,1.0,,V Sehwag
33,"['Rajasthan Royals', 'Delhi Daredevils']",Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,,3.0,SR Watson
43,"['Kolkata Knight Riders', 'Rajasthan Royals']",Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,,3.0,VR Aaron
7,"['Rajasthan Royals', 'Kolkata Knight Riders']",Sawai Mansingh Stadium,Kolkata Knight Riders,field,Rajasthan Royals,22.0,,BJ Hodge
42,"['Kolkata Knight Riders', 'Delhi Capitals']",Sheikh Zayed Stadium,Delhi Capitals,field,Kolkata Knight Riders,59.0,,CV Varun
1,"['Mumbai Indians', 'Chennai Super Kings']",Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,,1.0,DJ Bravo
41,"['Delhi Daredevils', 'Kochi Tuskers Kerala']",Feroz Shah Kotla,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,,7.0,P Parameswaran
49,"['Sunrisers Hyderabad', 'Kolkata Knight Riders']",Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders,,6.0,Shubman Gill
57,"['Lucknow Super Giants', 'Sunrisers Hyderabad']","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,bat,Sunrisers Hyderabad,,10.0,TM Head
28,"['Gujarat Lions', 'Kings XI Punjab']",Saurashtra Cricket Association Stadium,Gujarat Lions,field,Kings XI Punjab,23.0,,AR Patel
36,"['Deccan Chargers', 'Rajasthan Royals']","Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,bat,Rajasthan Royals,2.0,,SK Warne
31,"['Royal Challengers Bangalore', 'Gujarat Lions']",M Chinnaswamy Stadium,Gujarat Lions,field,Gujarat Lions,,7.0,AJ Tye
unknown,"['Chennai Super Kings', 'Kings XI Punjab']",Wankhede Stadium,Kings XI Punjab,bat,Chennai Super Kings,,9.0,M Ntini
46,"['Deccan Chargers', 'Delhi Daredevils']","Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,field,Delhi Daredevils,,4.0,V Sehwag
14,"['Kings XI Punjab', 'Kolkata Knight Riders']",Maharashtra Cricket Association Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,,4.0,AD Russell
